lineID,Experiment,comparisonType,Familiarity,NAME,Image1,Image2,comparisonImageNumber,Similarity,SimilarityAsymmetry,RawSimilarity_Proto/Ave First,RawSimilarity_ID First,Typicality,Exp3_Similarity,Exp3_SimilarityAsymmetry,Exp3_Similarity_Prototype First,Exp3_Similarity_Exemplar First,"avgSimilarity(Exp1,2,3)",VGG16_Img,VGG16_Conv1,VGG16_Conv2,VGG16_Conv3,VGG16_Conv4,VGG16_Conv5,VGG16_fc6,VGG16_fc7,VGG16_fc8,GIST
35,1,betweenVar,Familiar,Meg Ryan,female_average.jpg,US_meg_ryan_average.jpg,average,4.311643836,0.568493151,4.02739726,4.595890411,*,4.365313653,1.099630996,3.815498155,4.915129151,4.338478744,0.957838402,0.960169312,0.922412182,0.872334823,0.879682212,0.659770252,0.315995639,0.183485389,0,0.938864232
36,1,betweenVar,Familiar,Princess Diana,female_average.jpg,US_princess_diana_average.jpg,average,2.945205479,0.315068493,2.787671233,3.102739726,*,2.603321033,0.778597786,2.21402214,2.992619926,2.774263256,0.795029994,0.806931112,0.752426237,0.644535242,0.680535464,0.512532379,0.2092327,0.15752295,0.003860538,0.828306442
37,1,betweenVar,Familiar,Russell Crowe,male_average.jpg,US_russell_crowe_average.jpg,average,3.568493151,0.438356164,3.349315068,3.787671233,*,3.143911439,0.730627306,2.778597786,3.509225092,3.356202295,0.903478592,0.897205162,0.902816218,0.917729127,0.911562164,0.770653904,0.495128558,0.374131805,0.075517732,0.939455075
38,1,betweenVar,Familiar,Sarah Jessica Parker,female_average.jpg,US_sarah_j_parker_average.jpg,average,4.431506849,0.260273973,4.301369863,4.561643836,*,4.557195572,0.841328413,4.136531365,4.977859779,4.494351211,0.963919978,0.953303661,0.952294286,0.923040875,0.932557954,0.762878388,0.563393315,0.483360761,0.136972192,0.951287106
39,1,betweenVar,Familiar,Sylvester Stallone,male_average.jpg,US_sylvester_stallone_average.jpg,average,2.20890411,0.157534247,2.130136986,2.287671233,*,1.898523985,0.453874539,1.671586716,2.125461255,2.053714047,0.732901038,0.733630996,0.682861648,0.684457012,0.749684244,0.621867171,0.230020425,0.150585064,0.021680791,0.94795027
40,1,betweenVar,Familiar,Tom Cruise,male_average.jpg,US_tom_cruise_average.jpg,average,3.873287671,0.582191781,3.582191781,4.164383562,*,3.907749077,0.774907749,3.520295203,4.295202952,3.890518374,0.918541809,0.906014976,0.915813816,0.879462194,0.908242869,0.714822583,0.285820316,0.207244087,0.109785183,0.956617865
41,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta1.jpg,1,6.411111111,0.666666667,6.066666667,6.755555556,7.095238095,7.270833333,0.958333333,6.791666667,7.75,6.840972222,0.62724222,0.642136471,0.532300981,0.398837098,0.485031545,0.659445622,0.609073043,0.609484425,0.643824544,0.898690772
42,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta2.jpg,2,6.6125,-0.222222222,6.65,6.575,7.636363636,8.076923077,0.307692308,7.923076923,8.230769231,7.344711538,0.559550638,0.581473411,0.585081127,0.662079124,0.774424056,0.797403815,0.759833346,0.690382607,0.595487745,0.843392679
43,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta3.jpg,3,5.833333333,0.407407407,5.555555556,6.111111111,5.925925926,7.153846154,0.769230769,6.769230769,7.538461538,6.493589744,0.362087888,0.389293763,0.381361399,0.472638612,0.512368464,0.504246151,0.473279222,0.439284522,0.175868516,0.640062925
44,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta4.jpg,4,5.476744186,0.592592593,5.11627907,5.837209302,5.380952381,7.5,0.692307692,7.153846154,7.846153846,6.488372093,0.362798541,0.387623293,0.340643056,0.380587318,0.482779937,0.51031257,0.354392984,0.314006187,0.134280781,0.636034601
45,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta4.jpg,5,5.602564103,0.888888889,5.307692308,5.897435897,4.714285714,5.571428571,0.571428571,5.285714286,5.857142857,5.586996337,0.362798541,0.387623293,0.340643056,0.380587318,0.482779937,0.51031257,0.354392984,0.314006187,0.134280781,0.636034601
46,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta6.jpg,6,6.563829787,0.222222222,6.404255319,6.723404255,6.428571429,8,0.333333333,7.833333333,8.166666667,7.281914894,0.616134183,0.634227694,0.572720459,0.538024919,0.598945021,0.670301324,0.539653212,0.495101235,0.146501707,0.896316348
47,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta7.jpg,7,7.245098039,0.333333333,7.196078431,7.294117647,7.210526316,7.461538462,0.615384615,7.153846154,7.769230769,7.35331825,0.503425654,0.518252477,0.483916659,0.51080122,0.578083719,0.60047229,0.468757535,0.417864484,0.386103012,0.804087244
48,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta8.jpg,8,6.630952381,0.37037037,6.452380952,6.80952381,7.772727273,8.321428571,0.357142857,8.142857143,8.5,7.476190476,0.136749205,0.183436423,0.157639996,0.268118571,0.373523824,0.53143745,0.440425433,0.356766047,0.162679294,0.783404585
49,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta9.jpg,9,7.274509804,0.333333333,7.254901961,7.294117647,7.954545455,7.708333333,0.416666667,7.5,7.916666667,7.491421569,0.501765166,0.531695275,0.525989408,0.597396405,0.711872345,0.718657435,0.538607978,0.46407168,0.356731122,0.911771165
50,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta10.jpg,10,6.377358491,0.555555556,6.150943396,6.603773585,7.095238095,7.636363636,0,7.636363636,7.636363636,7.006861063,0.638478315,0.652265594,0.528477254,0.403095324,0.385278702,0.589176315,0.507575932,0.514474344,0.138189248,0.81067659
51,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta11.jpg,11,6.175925926,0.703703704,5.925925926,6.425925926,7.210526316,6.9,0.8,6.5,7.3,6.537962963,0.369370448,0.410198621,0.376117604,0.445914084,0.538877691,0.557086375,0.352291283,0.276690704,0.545569295,0.845297111
52,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta12.jpg,12,7.372093023,0.148148148,7.372093023,7.372093023,8.227272727,8.625,-0.25,8.75,8.5,7.998546512,0.605230969,0.633555914,0.582180129,0.59635995,0.698875778,0.840521452,0.737695135,0.722141157,0.697467211,0.928721494
53,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta13.jpg,13,7.962264151,-0.074074074,7.924528302,8,7.52173913,8.8,0,8.8,8.8,8.381132075,0.636758976,0.645221806,0.669089182,0.714690496,0.780170466,0.810080304,0.665887043,0.615065718,0.44392155,0.946235536
54,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta14.jpg,14,7.51,0.407407407,7.2,7.82,7.434782609,8.117647059,0.705882353,7.764705882,8.470588235,7.813823529,0.393480454,0.434085787,0.403452321,0.519245684,0.662422106,0.779971996,0.547979586,0.479030814,0.335294966,0.923144359
55,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta15.jpg,15,6.555555556,0.518518519,6.311111111,6.8,5.875,7.181818182,0.909090909,6.727272727,7.636363636,6.868686869,0.218199611,0.275656207,0.236688403,0.306584467,0.322035092,0.441033978,0.441571161,0.39616733,0.287756533,0.722490491
56,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta16.jpg,16,6.361111111,0.481481481,6.203703704,6.518518519,6.333333333,7,0.769230769,6.615384615,7.384615385,6.680555556,0.074212204,0.172868971,0.042946191,0.107519509,0.051581776,0.224783714,0.518588531,0.531631939,0.348621838,0.20757197
57,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta17.jpg,17,7.111111111,0.777777778,6.920634921,7.301587302,7.25,7.961538462,0.230769231,7.846153846,8.076923077,7.536324786,0.570339299,0.595647498,0.558715615,0.619473121,0.707835777,0.77660164,0.648387819,0.623055014,0.329887226,0.852716183
58,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta18.jpg,18,6.680327869,0.111111111,6.704918033,6.655737705,7.590909091,7.928571429,0,7.928571429,7.928571429,7.304449649,0.547590419,0.575807787,0.614270233,0.767124014,0.814102148,0.718606049,0.612652562,0.554321117,0.605124049,0.849594465
59,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta19.jpg,19,6.366666667,-0.296296296,6.25,6.483333333,5.344827586,6.863636364,-0.454545455,7.090909091,6.636363636,6.615151515,0.54672753,0.570376401,0.495979289,0.49853431,0.552058491,0.504461017,0.293901244,0.264733134,0.185619491,0.832494958
60,2,withinVar,Familiar,John Travolta,john_travolta_average.jpg,john_travolta20.jpg,20,6.028846154,0.666666667,5.730769231,6.326923077,8,7.692307692,0.923076923,7.230769231,8.153846154,6.860576923,0.385785974,0.412053781,0.372716291,0.366118665,0.436788746,0.614220676,0.487704652,0.448134327,0.222505594,0.826090714
61,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone1.jpg,1,6.666666667,-0.074074074,6.6,6.733333333,6.642857143,7.020833333,1.375,6.333333333,7.708333333,6.84375,0.379329564,0.405220637,0.421824705,0.584321068,0.673459711,0.649882866,0.650095434,0.618521175,0.179484291,0.792315062
62,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone2.jpg,2,5.8875,0.111111111,5.85,5.925,7.318181818,7.769230769,-0.153846154,7.846153846,7.692307692,6.828365385,0.353871063,0.380800635,0.347706177,0.361140169,0.411683327,0.559649362,0.468678049,0.422937549,0.161859365,0.743045529
63,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone3.jpg,3,6.166666667,-0.037037037,6.088888889,6.244444444,7.296296296,7.769230769,0.153846154,7.692307692,7.846153846,6.967948718,0.377306279,0.39239758,0.395118317,0.402482075,0.405406734,0.486185747,0.420695462,0.335671706,0.137785907,0.669195625
64,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone4.jpg,4,6.337209302,0.407407407,6,6.674418605,6.19047619,7.269230769,0.076923077,7.230769231,7.307692308,6.803220036,0.360233003,0.394504149,0.308903915,0.31504664,0.414935628,0.415208903,0.23333945,0.209096816,0.096295632,0.533739317
65,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone5.jpg,5,6.153846154,0.444444444,5.974358974,6.333333333,6.095238095,5.714285714,2.571428571,4.428571429,7,5.934065934,0.430659293,0.462720763,0.363886769,0.283098971,0.305701227,0.423169234,0.539183328,0.50943669,0.230089132,0.483346661
66,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone6.jpg,6,5.64893617,0.222222222,5.340425532,5.957446809,6.473684211,7.791666667,1.083333333,7.25,8.333333333,6.720301418,0.099671746,0.191244269,0.095110577,0.112555236,0.026859941,0,0.060160163,0.089384469,0.190298368,0.09243917
67,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone8.jpg,7,6.333333333,0.518518519,6.078431373,6.588235294,6.428571429,7.153846154,0.307692308,7,7.307692308,6.743589744,0.401382941,0.420819684,0.457916335,0.579432141,0.665097539,0.713490514,0.64648539,0.549881192,0.274555285,0.784291683
