Unfamiliar_Similarity,Familiar_Similarity,Unfamiliar_Similarity_Exemplar First,Unfamiliar_Similarity_Prototype First,Familiar_Similarity_Exemplar First,Familiar_Similarity_Prototype First,Unfamiliar_symmetry,Familiar_asymmetry
3.175,2.725,4.45,1.9,2.8,2.65,2.55,0.15
3.375,3.7,3.65,3.1,3.45,3.95,0.55,-0.5
4.125,4.4,5.05,3.2,5.35,3.45,1.85,1.9
5.725,3.525,5.35,6.1,3.45,3.6,-0.75,-0.15
3.95,4.975,3.9,4,4.6,5.35,-0.1,-0.75
3.575,3.05,3.65,3.5,2.9,3.2,0.15,-0.3
2.625,2.075,2.45,2.8,1.8,2.35,-0.35,-0.55
3.4,3.575,3.6,3.2,3.8,3.35,0.4,0.45
4.5,3.575,4.9,4.1,3.65,3.5,0.8,0.15
1.225,1.05,1.1,1.35,1.1,1,-0.25,0.1
3.3,1.875,3.55,3.05,2.1,1.65,0.5,0.45
